Location ID,Location,Date,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
37015,Bertie County,2021-07-31,4.95,43,-1.19,6.14
37015,Bertie County,2021-08-31,6.63,97,1.25,5.38
37015,Bertie County,2021-09-30,1.86,21,-2.58,4.44
37015,Bertie County,2021-10-31,1.63,31,-1.43,3.06
37015,Bertie County,2021-11-30,1.24,21,-1.64,2.88
37015,Bertie County,2021-12-31,2.06,21,-1.34,3.4
37017,Bladen County,2021-01-31,5.92,120,2.45,3.47
37017,Bladen County,2021-02-28,7.61,125,4.07,3.54
37017,Bladen County,2021-03-31,1.85,15,-2.02,3.87
37017,Bladen County,2021-04-30,1.56,20,-1.47,3.03
37017,Bladen County,2021-05-31,1.63,11,-2.17,3.8
37017,Bladen County,2021-06-30,6.62,104,1.61,5.01
37017,Bladen County,2021-07-31,7.09,92,0.73,6.36
37017,Bladen County,2021-08-31,4.46,40,-1.08,5.54
37017,Bladen County,2021-09-30,2.81,32,-1.95,4.76
37017,Bladen County,2021-10-31,1.47,37,-1.39,2.86
37017,Bladen County,2021-11-30,0.77,10,-1.87,2.64
37017,Bladen County,2021-12-31,2.56,50,-0.63,3.19
37019,Brunswick County,2021-01-31,4.85,95,1.08,3.77
37019,Brunswick County,2021-02-28,6.58,118,2.77,3.81
37019,Brunswick County,2021-03-31,1.97,18,-1.97,3.94
37019,Brunswick County,2021-04-30,1.21,15,-1.72,2.93
37019,Brunswick County,2021-05-31,1.15,10,-2.65,3.8
37019,Brunswick County,2021-06-30,8.97,122,3.97,5
37019,Brunswick County,2021-07-31,8.6,98,1.58,7.02
37019,Brunswick County,2021-08-31,7.83,98,1.55,6.28
37019,Brunswick County,2021-09-30,4.1,50,-1.73,5.83
37019,Brunswick County,2021-10-31,1.71,36,-1.53,3.24
37019,Brunswick County,2021-11-30,0.96,13,-1.82,2.78
37019,Brunswick County,2021-12-31,2.41,35,-1.14,3.55
37021,Buncombe County,2021-01-31,3.46,64,-0.29,3.75
37021,Buncombe County,2021-02-28,4.2,82,0.51,3.69
37021,Buncombe County,2021-03-31,6.98,113,2.29,4.69
37021,Buncombe County,2021-04-30,2.4,24,-1.36,3.76
37021,Buncombe County,2021-05-31,3.46,55,-0.57,4.03
37021,Buncombe County,2021-06-30,3.66,40,-0.71,4.37
37021,Buncombe County,2021-07-31,4.51,55,-0.37,4.88
37021,Buncombe County,2021-08-31,8.82,122,3.93,4.89
37021,Buncombe County,2021-09-30,2.79,46,-0.84,3.63
37021,Buncombe County,2021-10-31,6.72,111,3.19,3.53
37021,Buncombe County,2021-11-30,0.91,8,-2.2,3.11
37021,Buncombe County,2021-12-31,1.28,8,-2.41,3.69
37023,Burke County,2021-01-31,3.35,60,-0.67,4.02
37023,Burke County,2021-02-28,4.42,84,0.55,3.87
37023,Burke County,2021-03-31,6.36,104,1.6,4.76
37023,Burke County,2021-04-30,2.29,25,-1.59,3.88
37023,Burke County,2021-05-31,2.88,34,-1.29,4.17
37023,Burke County,2021-06-30,2.1,15,-2.31,4.41
37023,Burke County,2021-07-31,4.5,63,-0.6,5.1
37023,Burke County,2021-08-31,6.78,99,1.59,5.19
37023,Burke County,2021-09-30,2.07,26,-2.01,4.08
37023,Burke County,2021-10-31,6,105,2.2,3.8
37023,Burke County,2021-11-30,0.72,7,-2.52,3.24
37023,Burke County,2021-12-31,0.97,3,-2.99,3.96
37025,Cabarrus County,2021-01-31,3.72,70,-0.17,3.89
37025,Cabarrus County,2021-02-28,6.15,117,2.36,3.79
37025,Cabarrus County,2021-03-31,3.99,65,-0.29,4.28
37025,Cabarrus County,2021-04-30,1.53,15,-1.94,3.47
37025,Cabarrus County,2021-05-31,2.71,43,-1,3.71
37025,Cabarrus County,2021-06-30,3.46,51,-0.64,4.1
37025,Cabarrus County,2021-07-31,4.43,66,-0.19,4.62
37025,Cabarrus County,2021-08-31,4.94,83,0.31,4.63
37025,Cabarrus County,2021-09-30,2.64,46,-1.13,3.77
37025,Cabarrus County,2021-10-31,2.2,49,-1.08,3.28
37025,Cabarrus County,2021-11-30,1.16,23,-1.74,2.9
37025,Cabarrus County,2021-12-31,1.91,18,-1.76,3.67
37027,Caldwell County,2021-01-31,3.5,61,-0.5,4
37027,Caldwell County,2021-02-28,4.77,96,0.89,3.88
37027,Caldwell County,2021-03-31,5.81,93,1.03,4.78
37027,Caldwell County,2021-04-30,2.3,21,-1.73,4.03
37027,Caldwell County,2021-05-31,2.92,35,-1.31,4.23
37027,Caldwell County,2021-06-30,2.93,25,-1.64,4.57
37027,Caldwell County,2021-07-31,5.14,69,-0.16,5.3
37027,Caldwell County,2021-08-31,7,103,1.55,5.45
37027,Caldwell County,2021-09-30,2.66,40,-1.51,4.17
37027,Caldwell County,2021-10-31,5.51,99,1.73,3.78
37027,Caldwell County,2021-11-30,0.77,6,-2.54,3.31
37027,Caldwell County,2021-12-31,1.05,4,-2.91,3.96
37029,Camden County,2021-01-31,4.66,102,0.88,3.78
37029,Camden County,2021-02-28,7.19,124,3.58,3.61
37029,Camden County,2021-03-31,2.18,15,-1.67,3.85
37029,Camden County,2021-04-30,3.15,62,-0.09,3.24
37029,Camden County,2021-05-31,2.4,27,-1.27,3.67
37029,Camden County,2021-06-30,8.34,125,3.97,4.37
37029,Camden County,2021-07-31,4.94,46,-1.12,6.06
37029,Camden County,2021-08-31,9.73,117,4.11,5.62
37029,Camden County,2021-09-30,2.49,36,-1.8,4.29
37029,Camden County,2021-10-31,2.6,57,-0.59,3.19
37029,Camden County,2021-11-30,1.26,16,-1.67,2.93
37029,Camden County,2021-12-31,1.75,17,-1.65,3.4
37031,Carteret County,2021-01-31,4.97,93,0.84,4.13
37031,Carteret County,2021-02-28,8.52,125,4.52,4
37031,Carteret County,2021-03-31,2.16,13,-1.82,3.98
37031,Carteret County,2021-04-30,1.28,14,-1.91,3.19
37031,Carteret County,2021-05-31,2.26,20,-1.83,4.09
37031,Carteret County,2021-06-30,9.14,123,4.23,4.91
37031,Carteret County,2021-07-31,4.52,29,-2.57,7.09
37031,Carteret County,2021-08-31,11.4,119,4.53,6.87
37031,Carteret County,2021-09-30,2.33,15,-3.55,5.88
37031,Carteret County,2021-10-31,3.71,72,-0.02,3.73
37031,Carteret County,2021-11-30,1.35,20,-2.05,3.4
37031,Carteret County,2021-12-31,3.3,47,-0.74,4.04
37033,Caswell County,2021-01-31,4.05,87,0.52,3.53
